"Id","HasIanaId","DisplayName","StandardName","DaylightName","BaseUtcOffset","SupportsDaylightSavingTime"
"Afghanistan Standard Time","False","(UTC+04:30) Kabul","Afghanistan Standard Time","Afghanistan Daylight Time","04:30:00","False"
"Alaskan Standard Time","False","(UTC-09:00) Alaska","Alaskan Standard Time","Alaskan Daylight Time","-09:00:00","True"
"Aleutian Standard Time","False","(UTC-10:00) Aleutian Islands","Aleutian Standard Time","Aleutian Daylight Time","-10:00:00","True"
"Altai Standard Time","False","(UTC+07:00) Barnaul, Gorno-Altaysk","Altai Standard Time","Altai Daylight Time","07:00:00","True"
"Arab Standard Time","False","(UTC+03:00) Kuwait, Riyadh","Arab Standard Time","Arab Daylight Time","03:00:00","False"
"Arabian Standard Time","False","(UTC+04:00) Abu Dhabi, Muscat","Arabian Standard Time","Arabian Daylight Time","04:00:00","False"
"Arabic Standard Time","False","(UTC+03:00) Baghdad","Arabic Standard Time","Arabic Daylight Time","03:00:00","True"
"Argentina Standard Time","False","(UTC-03:00) City of Buenos Aires","Argentina Standard Time","Argentina Daylight Time","-03:00:00","True"
"Astrakhan Standard Time","False","(UTC+04:00) Astrakhan, Ulyanovsk","Astrakhan Standard Time","Astrakhan Daylight Time","04:00:00","True"
"Atlantic Standard Time","False","(UTC-04:00) Atlantic Time (Canada)","Atlantic Standard Time","Atlantic Daylight Time","-04:00:00","True"
"AUS Central Standard Time","False","(UTC+09:30) Darwin","AUS Central Standard Time","AUS Central Daylight Time","09:30:00","False"
"Aus Central W. Standard Time","False","(UTC+08:45) Eucla","Aus Central W. Standard Time","Aus Central W. Daylight Time","08:45:00","False"
"AUS Eastern Standard Time","False","(UTC+10:00) Canberra, Melbourne, Sydney","AUS Eastern Standard Time","AUS Eastern Daylight Time","10:00:00","True"
"Azerbaijan Standard Time","False","(UTC+04:00) Baku","Azerbaijan Standard Time","Azerbaijan Daylight Time","04:00:00","True"
"Azores Standard Time","False","(UTC-01:00) Azores","Azores Standard Time","Azores Daylight Time","-01:00:00","True"
"Bahia Standard Time","False","(UTC-03:00) Salvador","Bahia Standard Time","Bahia Daylight Time","-03:00:00","True"
